id,type,last_name,first_name,gender,birth_year,party,region,position,tiktok_username
293,Person,Hutter,Viktoria,female,1991,ÖVP,Österreich,Bundesrat,viki_hutter
294,Person,Häusler,Dagmar,female,1983,MFG,Oberösterreich,Landtag,dagi_haeusler
303,Person,Jachs,Johanna,female,1991,ÖVP,Österreich,Nationalrat,johannajachs
304,Person,Jagl,Simone,female,1972,GRÜNE,Österreich,Bundesrat,simonejagl
313,Person,Kaineder,Stefan,male,1985,GRÜNE,Oberösterreich,Landesregierung,stefankaineder
317,Person,Kaiser,Peter,male,1958,SPÖ,Kärnten,Landesregierung,peter_kaiser
318,Person,Kampus,Doris,female,1967,SPÖ,Steiermark,Landtag,doris.kampus
334,Person,Khom,Manuela,female,1963,ÖVP,Steiermark,Landesregierung,manuela.khom
336,Person,Kickl,Herbert,male,1968,FPÖ,Österreich,Nationalrat,kicklherbert
338,Person,Kircher,Sophia,female,1994,ÖVP,EU,EP,sophiakircher
344,Person,Klimt-Weithaler,Claudia,female,1971,KPÖ,Steiermark,Landtag,claudia.klimtweithaler
349,Person,Kocevar,Wolfgang,male,1969,SPÖ,Österreich,Nationalrat,wolfgangkocevar
350,Person,Kofler,Gudrun,female,1983,FPÖ,Tirol,Landtag,gudrunkofler
352,Person,Kogler,Werner,male,1961,GRÜNE,Österreich,Nationalrat,werner.kogler
354,Person,Kolland,Sebastian,male,1983,ÖVP,Tirol,Landtag,sebastiankolland1983
367,Person,Kraus,Peter,male,1986,GRÜNE,Wien,Landesregierung,peterkraus.wien
368,Person,Krauss,Maximilian,male,1993,FPÖ,Wien,Landtag,maximilian_krauss
369,Person,Krautgartner,Manuel,male,1983,MFG,Oberösterreich,Landtag,manuelkrautgartner
370,Person,Krautwaschl,Sandra,female,1971,GRÜNE,Steiermark,Landtag,sandraoptimistinp
375,Person,Krumböck,Florian,male,1991,ÖVP,Niederösterreich,Landtag,florian.krumboeck
376,Person,Kucher,Philip,male,1981,SPÖ,Österreich,Nationalrat,philipkucher
377,Person,Kugler,Gudrun,female,1976,ÖVP,Österreich,Nationalrat,drgudrunkugler
379,Person,Kunasek,Mario,male,1976,FPÖ,Steiermark,Landesregierung,mario.kunasek
382,Person,Köllner,Maximilian,male,1991,SPÖ,Österreich,Nationalrat,maximiliankoellner
387,Person,Lackner,Fabienne,female,1997,NEOS,Vorarlberg,Landtag,fabiennelackner
389,Person,Laimer,Robert,male,1966,SPÖ,Österreich,Nationalrat,robertlaimer.at
390,Person,Landbauer,Udo,male,1986,FPÖ,Niederösterreich,Landesregierung,udo_landbauer
391,Person,Langer-Weninger,Michaela,female,1979,ÖVP,Oberösterreich,Landesregierung,michaela_langer_weninger
393,Person,Laschober-Luif,Carina,female,1981,ÖVP,Burgenland,Landtag,carinalaschoberluif
400,Person,Leinfellner,Markus,male,1980,FPÖ,Österreich,Nationalrat,markusleinfellner
408,Person,Lindner,Mario,male,1982,SPÖ,Österreich,Nationalrat,mario.lindner
414,Person,Ludwig,Michael,male,1961,SPÖ,Wien,Landesregierung,bgm.michaelludwig
416,Person,Lugner,Leo,male,1987,FPÖ,Wien,Landtag,leolugner
417,Person,Löcker,Theodor Felix,male,2003,GRÜNE,Wien,Landtag,theo_loecker
424,Person,Maier,Dominic,male,1989,FPÖ,Salzburg,Landtag,dominic__maier
427,Person,Mainusch,Dominik,male,1991,ÖVP,Tirol,Landtag,dominikmainusch51
428,Person,Mair,Gebi,male,1984,GRÜNE,Tirol,Landtag,gebimair
432,Person,Malle,Markus,male,1971,ÖVP,Kärnten,Landtag,markus.malle
434,Person,Mandl,Lukas,male,1979,ÖVP,EU,EP,lukasmandl.eu
437,Person,Margreiter,Doris,female,1968,SPÖ,Oberösterreich,Landtag,dorismargreiter
439,Person,Marschik,Daniel,male,1995,FPÖ,Tirol,Landtag,danielmarschik
442,Person,Mattle,Anton,male,1963,ÖVP,Tirol,Landesregierung,anton_mattle
443,Person,Matznetter,Christoph,male,1959,SPÖ,Österreich,Bundesrat,c.matznetter
445,Person,Maurer,Sigrid,female,1985,GRÜNE,Österreich,Nationalrat,sigi_maurer
451,Person,Mayr,Severin,male,1979,GRÜNE,Oberösterreich,Landtag,severinmayr
454,Person,Meinl-Reisinger,Beate,female,1978,NEOS,Österreich,Bundesregierung,beatemeinlreisinger
457,Person,Melinz,Alexander,male,1989,KPÖ,Steiermark,Landtag,alex.melinz
460,Person,Miesenberger,Johanna,female,1974,ÖVP,Österreich,Bundesrat,johannamiesenberger
461,Person,Mikl-Leitner,Johanna,female,1964,ÖVP,Niederösterreich,Landesregierung,johanna.mikl.leitner
